date,adjclose,close,high,low,open,volume
2024-01-02,106.3669204711914,113.61000061035156,113.61000061035156,111.79000091552734,111.8499984741211,1628690
2024-01-03,104.98127746582031,112.12999725341797,112.9800033569336,112.0199966430664,112.5999984741211,1207784
2024-01-04,104.38208770751953,111.48999786376953,112.32499694824219,110.94000244140625,112.30000305175781,1380616
2024-01-05,105.78644561767578,112.98999786376953,113.23999786376953,111.9000015258789,112.0,1502441
2024-01-08,104.84083557128906,111.9800033569336,113.22000122070312,111.87000274658203,112.76000213623047,1784232
2024-01-09,105.81453704833984,113.0199966430664,113.30000305175781,112.63999938964844,113.27999877929688,1510571
2024-01-10,104.89702606201172,112.04000091552734,113.30000305175781,112.04000091552734,112.97000122070312,1415900
2024-01-11,106.35755920410156,113.5999984741211,113.66000366210938,112.23999786376953,112.5,1667803
2024-01-12,106.3856430053711,113.62999725341797,113.80000305175781,112.80000305175781,113.0,1678657
2024-01-15,106.47927856445312,113.7300033569336,113.80000305175781,113.1500015258789,113.5,207240
2024-01-16,105.79581451416016,113.0,113.66000366210938,112.80000305175781,113.5,1896379
2024-01-17,105.16853332519531,112.33000183105469,112.98999786376953,111.70999908447266,112.81999969482422,2189913
2024-01-18,105.30896759033203,112.4800033569336,112.91000366210938,111.37000274658203,111.37000274658203,2131509
2024-01-19,106.05796813964844,113.27999877929688,113.9000015258789,112.70999908447266,113.12000274658203,4107588
2024-01-22,107.4810562133789,114.80000305175781,114.8499984741211,113.55000305175781,114.0,2353571
2024-01-23,108.2862319946289,115.66000366210938,115.9800033569336,114.70999908447266,114.9000015258789,2197384
2024-01-24,107.3874282836914,114.69999694824219,116.0,114.52999877929688,116.0,1509853
2024-01-25,107.5372314453125,114.86000061035156,115.13999938964844,114.0,115.0,1967920
2024-01-29,108.52964782714844,115.91999816894531,116.0,115.0,116.0,2017654
2024-01-30,108.65137481689453,116.05000305175781,116.94000244140625,115.7699966430664,116.12000274658203,1982285
2024-01-31,110.03700256347656,117.52999877929688,118.23999786376953,115.20500183105469,116.0,4128431
2024-02-01,106.82567596435547,114.0999984741211,116.80000305175781,114.0999984741211,116.6500015258789,2593915
2024-02-02,108.42666625976562,115.80999755859375,116.12000274658203,114.43000030517578,114.80999755859375,2545023
2024-02-05,108.11770629882812,115.4800033569336,115.4800033569336,113.97000122070312,115.0199966430664,1142496
2024-02-06,107.07847595214844,114.37000274658203,115.63999938964844,114.1500015258789,115.31999969482422,1997385
2024-02-07,107.24700164794922,114.55000305175781,115.63999938964844,114.22000122070312,114.91999816894531,1737069
2024-02-08,108.48284149169922,115.87000274658203,116.0,114.44000244140625,115.13999938964844,1366549
2024-02-09,108.8292465209961,116.23999786376953,116.75,116.01000213623047,116.2699966430664,2086972
2024-02-12,108.35176849365234,115.7300033569336,116.77999877929688,115.55000305175781,116.5,1005660
2024-02-13,108.60455322265625,116.0,117.75,116.0,117.26000213623047,1758908
2024-02-14,106.79759979248047,114.06999969482422,114.06999969482422,111.55999755859375,113.16000366210938,2740465
2024-02-15,106.8818588256836,114.16000366210938,115.16999816894531,113.26000213623047,113.5,2315896
2024-02-16,108.86669921875,116.27999877929688,116.27999877929688,114.77999877929688,115.75,3844462
2024-02-19,109.66250610351562,117.12999725341797,117.29000091552734,115.62000274658203,115.86000061035156,1386827
2024-02-20,109.49398040771484,116.94999694824219,117.80000305175781,116.05999755859375,117.4000015258789,1772794
2024-02-21,109.32231140136719,114.62000274658203,115.95999908447266,114.0999984741211,114.30999755859375,3281940
2024-02-22,109.16016387939453,114.44999694824219,115.0,113.30999755859375,115.0,1691941
2024-02-23,109.5226058959961,114.83000183105469,115.87999725341797,114.56999969482422,115.33000183105469,1576082
2024-02-26,110.56221771240234,115.91999816894531,115.98999786376953,115.06999969482422,115.31999969482422,1623264
2024-02-27,111.70675659179688,117.12000274658203,117.12000274658203,115.53500366210938,116.19999694824219,2199043
2024-02-28,110.6003646850586,115.95999908447266,117.30000305175781,115.66999816894531,117.25,1605950
2024-02-29,111.02957916259766,116.41000366210938,116.76000213623047,115.2300033569336,116.18000030517578,4036090
2024-03-01,111.9356689453125,117.36000061035156,117.36000061035156,116.19999694824219,116.75,1547236
2024-03-04,112.66053771972656,118.12000274658203,118.55000305175781,117.36000061035156,117.55000305175781,1657258
2024-03-05,111.53507232666016,116.94000244140625,118.69999694824219,116.7699966430664,118.5999984741211,1985735
2024-03-06,112.84175109863281,118.30999755859375,118.41000366210938,116.68000030517578,117.0,1499396
2024-03-07,113.73831176757812,119.25,119.37000274658203,118.38999938964844,118.5,2404787
2024-03-08,115.83662414550781,121.44999694824219,121.54000091552734,119.0199966430664,119.54000091552734,3693739
2024-03-11,112.67007446289062,118.12999725341797,120.2300033569336,117.93000030517578,119.98999786376953,1620096
2024-03-12,112.298095703125,117.73999786376953,120.08000183105469,117.51000213623047,119.0199966430664,1912342
2024-03-13,112.11688232421875,117.55000305175781,118.22000122070312,116.81999969482422,118.01000213623047,1749751
2024-03-14,110.84835052490234,116.22000122070312,117.55999755859375,115.33999633789062,117.54000091552734,1972503
2024-03-15,110.19978332519531,115.54000091552734,115.54000091552734,114.0,115.0,5370902
2024-03-18,111.07726287841797,116.45999908447266,116.55999755859375,115.2699966430664,115.4000015258789,1471598
2024-03-19,110.4286880493164,115.77999877929688,116.44000244140625,115.33000183105469,116.43000030517578,1817662
2024-03-20,110.30470275878906,115.6500015258789,116.87000274658203,115.6500015258789,116.30000305175781,2011037
2024-03-21,112.54608154296875,118.0,118.05000305175781,116.54000091552734,117.0999984741211,3579903
2024-03-22,112.05011749267578,117.4800033569336,118.3499984741211,116.55999755859375,118.30000305175781,3825604
2024-03-25,113.29956817626953,118.79000091552734,118.98999786376953,117.48999786376953,118.25,1974708
2024-03-26,113.11833953857422,118.5999984741211,119.48500061035156,118.56999969482422,118.9000015258789,1676353
2024-03-27,114.45364379882812,120.0,120.19000244140625,118.51000213623047,118.7699966430664,2340622
2024-03-28,114.77792358398438,120.33999633789062,120.55999755859375,119.4000015258789,120.55999755859375,2679602
2024-04-02,114.5204086303711,120.06999969482422,120.5999984741211,119.30000305175781,119.4000015258789,2314881
2024-04-03,112.36486053466797,117.80999755859375,119.93000030517578,117.63999938964844,119.62999725341797,2016061
2024-04-04,112.8799057006836,118.3499984741211,119.06999969482422,117.97000122070312,118.5999984741211,1282364
2024-04-05,112.58423614501953,118.04000091552734,118.16999816894531,116.62999725341797,117.06999969482422,1387617
2024-04-08,112.72731018066406,118.19000244140625,119.0199966430664,117.69999694824219,118.77999877929688,1168997
2024-04-09,113.64292907714844,119.1500015258789,119.1500015258789,118.4800033569336,118.72000122070312,949230
2024-04-10,112.74638366699219,118.20999908447266,119.20999908447266,117.9800033569336,119.1500015258789,1720573
2024-04-11,111.41107940673828,116.80999755859375,116.98999786376953,116.0999984741211,116.33999633789062,1787099
2024-04-12,110.86742401123047,116.23999786376953,116.69000244140625,116.01000213623047,116.37000274658203,1381123
2024-04-15,109.34138488769531,114.63999938964844,115.30000305175781,114.29499816894531,115.19999694824219,2434316
