date,adjclose,close,high,low,open,volume
2020-01-02,63.946311950683594,79.87999725341797,80.22000122070312,79.38999938964844,79.79000091552734,1416232
2020-01-03,64.29053497314453,80.30999755859375,81.19000244140625,80.25,80.97000122070312,1622784
2020-01-06,63.858253479003906,79.7699966430664,79.87999725341797,79.2300033569336,79.7300033569336,2129260
2020-01-07,65.00301361083984,81.19999694824219,81.19999694824219,80.18000030517578,80.81999969482422,2417468
2020-01-08,64.76285552978516,80.9000015258789,81.25,80.02999877929688,81.22000122070312,1719114
2020-01-09,65.23516845703125,81.48999786376953,81.83999633789062,81.16999816894531,81.5,3014295
2020-01-10,66.04370880126953,82.5,82.5,81.6050033569336,81.62999725341797,2875353
2020-01-13,66.0277099609375,82.4800033569336,82.58000183105469,81.7300033569336,82.0999984741211,1434635
2020-01-14,66.58007049560547,83.16999816894531,83.5199966430664,82.7699966430664,82.95999908447266,2703855
2020-01-15,66.97232818603516,83.66000366210938,83.7699966430664,83.0999984741211,83.0999984741211,2039328
2020-01-16,67.61275482177734,84.45999908447266,84.45999908447266,83.87999725341797,84.0,3058484
2020-01-17,67.28453063964844,84.05000305175781,84.95999908447266,84.01000213623047,84.73999786376953,2401336
2020-01-20,67.18846130371094,83.93000030517578,84.4000015258789,83.83000183105469,84.0,1980399
2020-01-21,66.8282241821289,83.4800033569336,83.87999725341797,83.19999694824219,83.87999725341797,1923944
2020-01-22,67.604736328125,84.44999694824219,84.55999755859375,83.48999786376953,83.5,3656698
2020-01-23,67.6607666015625,84.5199966430664,84.94999694824219,84.26000213623047,84.44000244140625,2105704
2020-01-24,67.99700164794922,84.94000244140625,85.4000015258789,84.7699966430664,84.9000015258789,2839291
2020-01-28,67.26050567626953,84.0199966430664,84.06999969482422,83.54000091552734,83.69999694824219,2273413
2020-01-29,67.73283386230469,84.61000061035156,84.86000061035156,84.16000366210938,84.44000244140625,1877335
2020-01-30,68.39726257324219,85.44000244140625,85.44000244140625,84.68000030517578,84.83999633789062,3176161
2020-01-31,68.25318145751953,85.26000213623047,85.97000122070312,84.9000015258789,85.56999969482422,6713764
2020-02-03,67.68479919433594,84.55000305175781,84.94999694824219,84.05999755859375,84.1500015258789,2139581
2020-02-04,67.49267578125,84.30999755859375,84.69000244140625,83.96499633789062,84.4000015258789,2564013
2020-02-05,66.66812133789062,83.27999877929688,85.0,83.27999877929688,85.0,3166202
2020-02-06,67.42862701416016,84.2300033569336,84.3499984741211,83.5,83.93000030517578,3581220
2020-02-07,67.88492584228516,84.80000305175781,84.80000305175781,83.94999694824219,84.62000274658203,3368097
2020-02-10,67.50067138671875,84.31999969482422,84.73999786376953,84.08000183105469,84.73999786376953,1818742
2020-02-11,67.82087707519531,84.72000122070312,85.0,84.5199966430664,84.80000305175781,1913033
2020-02-12,70.59070587158203,88.18000030517578,88.55999755859375,86.19999694824219,86.19999694824219,7132862
2020-02-13,71.03102111816406,88.7300033569336,88.7300033569336,87.87000274658203,88.48999786376953,4143011
2020-02-14,72.84020233154297,90.98999786376953,91.05000305175781,89.30000305175781,89.4000015258789,7942600
2020-02-17,71.61538696289062,89.45999908447266,90.87999725341797,89.25,90.79000091552734,2619663
2020-02-18,72.25580596923828,90.26000213623047,90.26000213623047,89.58000183105469,89.80999755859375,3817424
2020-02-19,71.9037857055664,87.83000183105469,88.1500015258789,87.5,88.01000213623047,8050978
2020-02-20,71.92015838623047,87.8499984741211,88.0999984741211,87.41000366210938,87.83000183105469,2902590
2020-02-21,72.6978988647461,88.80000305175781,88.80000305175781,87.52999877929688,87.8499984741211,2506023
2020-02-24,72.03478240966797,87.98999786376953,87.98999786376953,87.4000015258789,87.61000061035156,2432907
2020-02-25,71.06055450439453,86.80000305175781,87.27999877929688,85.8499984741211,86.30000305175781,3475833
2020-02-26,69.87348937988281,85.3499984741211,86.05000305175781,85.06999969482422,85.33000183105469,3362264
2020-02-27,69.12031555175781,84.43000030517578,85.63999938964844,83.7300033569336,85.12000274658203,4435151
2020-02-28,66.95083618164062,81.77999877929688,82.58999633789062,81.2699966430664,82.25,7654504
2020-03-02,65.87837982177734,80.47000122070312,80.7699966430664,78.75,80.05000305175781,4714534
2020-03-03,64.76497650146484,79.11000061035156,81.94999694824219,79.08999633789062,81.5,4537570
2020-03-04,63.12765121459961,77.11000061035156,78.4000015258789,76.5,78.16999816894531,4610814
2020-03-05,62.83293914794922,76.75,78.30000305175781,76.38999938964844,78.1500015258789,5804404
2020-03-06,60.52427673339844,73.93000030517578,75.5,73.93000030517578,75.33000183105469,4995332
2020-03-09,56.61103057861328,69.1500015258789,71.95999908447266,69.1500015258789,71.0,7669261
2020-03-10,60.06583023071289,73.37000274658203,73.37000274658203,65.75,67.52999877929688,8874773
2020-03-11,56.078895568847656,68.5,73.5,68.5,73.06999969482422,8171997
2020-03-12,51.6662712097168,63.11000061035156,68.73999786376953,63.11000061035156,67.9000015258789,10247518
2020-03-13,54.32695007324219,66.36000061035156,66.36000061035156,57.15999984741211,60.470001220703125,17021972
2020-03-16,48.89097595214844,59.720001220703125,65.37999725341797,59.720001220703125,61.439998626708984,10752353
2020-03-17,55.374839782714844,67.63999938964844,67.9000015258789,59.70000076293945,59.720001220703125,11345264
2020-03-18,52.35395050048828,63.95000076293945,66.9000015258789,61.959999084472656,65.95999908447266,10404325
2020-03-19,49.897945404052734,60.95000076293945,68.5,60.45000076293945,66.19000244140625,10958660
2020-03-20,49.04652404785156,59.90999984741211,64.41000366210938,59.90999984741211,64.41000366210938,10756489
2020-03-23,44.4210319519043,54.2599983215332,57.79999923706055,53.439998626708984,57.709999084472656,10019723
2020-03-24,46.664188385009766,57.0,58.08000183105469,55.0,56.0099983215332,6944322
2020-03-25,51.08501434326172,62.400001525878906,62.400001525878906,57.880001068115234,62.0,7698259
2020-03-26,50.593807220458984,61.79999923706055,63.209999084472656,60.060001373291016,62.900001525878906,5841282
2020-03-27,47.20451354980469,57.65999984741211,63.790000915527344,57.65999984741211,63.279998779296875,12591507
2020-03-30,52.35395050048828,63.95000076293945,63.95000076293945,57.849998474121094,57.849998474121094,5825869
2020-03-31,50.61018371582031,61.81999969482422,68.18000030517578,61.0,64.5999984741211,9250686
2020-04-01,52.124717712402344,63.66999816894531,64.0,61.56999969482422,64.0,6392579
2020-04-02,50.13534927368164,61.2400016784668,62.290000915527344,59.68000030517578,61.25,8116112
2020-04-03,49.21025466918945,60.11000061035156,62.5,59.66999816894531,62.099998474121094,5466414
2020-04-06,51.14231491088867,62.470001220703125,62.9900016784668,60.5,61.09000015258789,4475626
2020-04-07,50.6511116027832,61.869998931884766,64.79000091552734,61.0,63.599998474121094,6689173
2020-04-08,48.96465301513672,59.810001373291016,61.25,59.310001373291016,60.0,7488425
2020-04-09,50.56106185913086,61.7599983215332,61.7599983215332,59.84000015258789,61.56999969482422,4265838
2020-04-14,51.37154769897461,62.75,62.75,60.79999923706055,61.7599983215332,4179847
2020-04-15,50.81484603881836,62.06999969482422,63.25,61.5,62.5,4472733
2020-04-16,50.15172576904297,61.2599983215332,61.2599983215332,60.13999938964844,60.470001220703125,5129177
2020-04-17,49.98799514770508,61.060001373291016,62.290000915527344,61.04999923706055,62.150001525878906,3484591
2020-04-20,49.02196502685547,59.880001068115234,61.59000015258789,59.880001068115234,60.9900016784668,3866241
2020-04-21,47.99862289428711,58.630001068115234,60.45000076293945,58.630001068115234,60.13999938964844,4261494
2020-04-22,48.506202697753906,59.25,59.95000076293945,57.58000183105469,58.380001068115234,4437856
2020-04-23,48.16236114501953,58.83000183105469,60.2400016784668,58.369998931884766,60.0,4443380
2020-04-24,48.20329284667969,58.880001068115234,59.54999923706055,58.4900016784668,58.54999923706055,4408844
2020-04-27,48.20329284667969,58.880001068115234,58.880001068115234,57.0,58.25,4215834
2020-04-28,47.98225021362305,58.61000061035156,60.130001068115234,58.0,59.099998474121094,4608913
2020-04-29,49.99617385864258,61.06999969482422,61.06999969482422,59.349998474121094,59.349998474121094,3903547
2020-04-30,51.322418212890625,62.689998626708984,62.93000030517578,61.2599983215332,61.880001068115234,5477696
2020-05-01,48.17054748535156,58.84000015258789,61.540000915527344,58.84000015258789,61.5099983215332,5231281
2020-05-04,49.02196502685547,59.880001068115234,60.11000061035156,58.0099983215332,58.630001068115234,3294801
2020-05-05,49.816070556640625,60.849998474121094,61.189998626708984,60.150001525878906,60.599998474121094,3811757
2020-05-06,49.406734466552734,60.349998474121094,60.70000076293945,59.880001068115234,60.5,2251545
2020-05-07,48.51438522338867,59.2599983215332,60.189998626708984,59.13999938964844,59.93000030517578,3227213
2020-05-08,48.79273223876953,59.599998474121094,60.29999923706055,59.470001220703125,60.25,3732173
2020-05-11,49.23481369018555,60.13999938964844,60.77000045776367,59.79999923706055,60.0,3138014
2020-05-12,48.882789611816406,59.709999084472656,60.5,59.25,60.189998626708984,3095215
2020-05-13,49.816070556640625,60.849998474121094,60.849998474121094,58.790000915527344,59.20000076293945,4472151
2020-05-14,48.219669342041016,58.900001525878906,59.59000015258789,58.81999969482422,59.400001525878906,4440061
2020-05-15,48.79273223876953,59.599998474121094,59.7599983215332,58.90999984741211,59.5,2541031
2020-05-18,48.219669342041016,58.900001525878906,59.939998626708984,58.880001068115234,59.88999938964844,2783661
2020-05-19,48.83367156982422,59.650001525878906,60.400001525878906,59.400001525878906,60.099998474121094,3796234
2020-05-20,49.177513122558594,60.06999969482422,60.099998474121094,59.02000045776367,59.099998474121094,2628015
2020-05-21,48.34246826171875,59.04999923706055,60.400001525878906,59.04999923706055,60.34000015258789,3701924
2020-05-22,48.055931091308594,58.70000076293945,59.459999084472656,58.70000076293945,59.150001525878906,3533352
2020-05-25,48.29335021972656,58.9900016784668,59.369998931884766,58.650001525878906,59.34000015258789,3314489
2020-05-26,50.19266128540039,61.310001373291016,61.310001373291016,59.11000061035156,59.400001525878906,6741584
2020-05-27,52.6404914855957,64.30000305175781,65.87999725341797,61.7400016784668,61.810001373291016,10042101
2020-05-28,53.81118392944336,65.7300033569336,67.02999877929688,65.08999633789062,66.01000213623047,5684569
2020-05-29,52.190216064453125,63.75,65.6500015258789,63.75,65.37000274658203,8073379
2020-06-01,52.313018798828125,63.900001525878906,64.2300033569336,62.310001373291016,63.04999923706055,3070283
2020-06-02,52.41944122314453,64.02999877929688,64.44000244140625,63.56999969482422,64.0,2100991
2020-06-03,54.122276306152344,66.11000061035156,66.29000091552734,64.45999908447266,64.61000061035156,3553552
2020-06-04,55.39122009277344,67.66000366210938,68.6500015258789,66.91000366210938,67.9000015258789,6606740
2020-06-05,56.26719665527344,68.7300033569336,68.9800033569336,67.91000366210938,68.16999816894531,4428390
2020-06-09,59.107967376708984,72.19999694824219,72.41999816894531,70.66999816894531,71.0,5346437
2020-06-10,58.61676788330078,71.5999984741211,72.41999816894531,70.5999984741211,71.37999725341797,3872247
2020-06-11,56.02977752685547,68.44000244140625,70.5,68.30999755859375,69.87000274658203,5573908
2020-06-12,55.11287307739258,67.31999969482422,67.63999938964844,65.37999725341797,66.5,6002755
2020-06-15,54.27782440185547,66.30000305175781,68.0,66.30000305175781,67.22000122070312,4090602
2020-06-16,56.56191635131836,69.08999633789062,69.56999969482422,68.1500015258789,68.76000213623047,5425361
2020-06-17,56.97125244140625,69.58999633789062,69.77999877929688,68.55999755859375,69.69999694824219,3893680
2020-06-18,56.49642562866211,69.01000213623047,69.44000244140625,68.12999725341797,69.1500015258789,6359929
2020-06-19,56.22624588012695,68.68000030517578,69.87000274658203,68.36000061035156,69.6500015258789,5999403
2020-06-22,56.848453521728516,69.44000244140625,69.86000061035156,67.9000015258789,68.1500015258789,2314821
2020-06-23,56.512786865234375,69.02999877929688,69.66000366210938,68.29000091552734,69.66000366210938,2516618
2020-06-24,56.68470764160156,69.23999786376953,69.5999984741211,68.62999725341797,69.23999786376953,2798594
2020-06-25,55.38302993774414,67.6500015258789,68.61499786376953,67.56999969482422,67.95999908447266,3797086
2020-06-26,56.70927047729492,69.2699966430664,69.41000366210938,68.31999969482422,68.66999816894531,5935454
2020-06-29,56.14439010620117,68.58000183105469,68.58000183105469,67.37000274658203,67.80000305175781,2706964
2020-06-30,56.832069396972656,69.41999816894531,70.1500015258789,69.01000213623047,69.55000305175781,4503164
2020-07-01,57.20866012573242,69.87999725341797,69.87999725341797,68.87000274658203,69.44999694824219,2669469
2020-07-02,58.207435607910156,71.0999984741211,71.16000366210938,69.5199966430664,69.80000305175781,4184511
2020-07-03,58.59221649169922,71.56999969482422,71.93000030517578,70.7699966430664,71.43000030517578,2633309
2020-07-06,58.469417572021484,71.41999816894531,72.30000305175781,70.97000122070312,71.4000015258789,2432574
2020-07-07,58.322052001953125,71.23999786376953,72.38999938964844,71.16000366210938,71.9000015258789,3742188
2020-07-08,57.76534652709961,70.55999755859375,71.47000122070312,70.25,70.97000122070312,3698529
2020-07-09,57.65074920654297,70.41999816894531,71.12999725341797,70.41999816894531,71.0199966430664,2582172
2020-07-10,57.822662353515625,70.62999725341797,71.1500015258789,70.20999908447266,70.61000061035156,2954790
2020-07-13,59.04248046875,72.12000274658203,72.62999725341797,71.5,71.80000305175781,3169882
2020-07-14,58.72319793701172,71.7300033569336,72.25,71.44000244140625,72.0,2788782
2020-07-15,59.54188537597656,72.7300033569336,72.80000305175781,71.4000015258789,72.0,3427002
2020-07-16,59.46819305419922,72.63999938964844,73.44999694824219,72.08999633789062,73.06999969482422,3339604
2020-07-17,59.4354362487793,72.5999984741211,73.0199966430664,72.20999908447266,72.77999877929688,3329439
2020-07-20,58.93606185913086,71.98999786376953,72.3499984741211,71.55000305175781,72.20999908447266,1506664
2020-07-21,60.93361282348633,74.43000030517578,74.43000030517578,72.33999633789062,72.77999877929688,3172653
2020-07-22,60.6879997253418,74.12999725341797,74.72000122070312,73.56999969482422,74.30000305175781,2723772
2020-07-23,60.36872863769531,73.73999786376953,73.95999908447266,73.18000030517578,73.76000213623047,2494631
2020-07-24,59.64829635620117,72.86000061035156,73.63999938964844,72.75,73.19999694824219,2473039
2020-07-27,59.345394134521484,72.48999786376953,73.27999877929688,72.2699966430664,72.8499984741211,1905993
2020-07-28,59.116172790527344,72.20999908447266,73.05000305175781,72.12999725341797,72.81999969482422,1907858
2020-07-29,59.77111053466797,73.01000213623047,73.91000366210938,72.54000091552734,72.80000305175781,4074211
2020-07-30,59.943023681640625,73.22000122070312,73.87000274658203,73.02999877929688,73.30000305175781,2916496
2020-07-31,58.289302825927734,71.19999694824219,72.66999816894531,71.02999877929688,72.5999984741211,4787087
2020-08-03,57.24959182739258,69.93000030517578,70.51000213623047,69.12999725341797,70.41000366210938,3299430
2020-08-04,58.53490447998047,71.5,72.25,71.16999816894531,71.30000305175781,4177168
2020-08-05,58.698638916015625,71.69999694824219,71.7699966430664,69.66999816894531,70.30999755859375,2914726
2020-08-06,58.70682907104492,71.70999908447266,72.23999786376953,71.1500015258789,72.0,2237150
2020-08-07,58.55127716064453,71.5199966430664,71.6500015258789,71.0199966430664,71.20999908447266,2499015
2020-08-10,60.56521987915039,73.9800033569336,74.12000274658203,72.05999755859375,72.0999984741211,3363578
2020-08-11,61.15464782714844,74.69999694824219,76.02999877929688,73.91000366210938,74.0,4249396
2020-08-12,60.859928131103516,74.33999633789062,76.75,73.94999694824219,75.97000122070312,4403812
2020-08-13,59.2962760925293,72.43000030517578,75.16999816894531,72.12999725341797,74.98999786376953,5960634
2020-08-14,58.74776840209961,71.76000213623047,72.87000274658203,71.2699966430664,72.43000030517578,4061418
2020-08-17,57.9290885925293,70.76000213623047,71.44999694824219,70.6500015258789,71.0999984741211,3329741
2020-08-18,57.69987106323242,70.4800033569336,71.23999786376953,70.02999877929688,70.80000305175781,4601033
2020-08-19,58.97840118408203,71.04000091552734,71.05999755859375,69.51000213623047,69.51000213623047,3711730
2020-08-20,58.3308219909668,70.26000213623047,70.66999816894531,69.8499984741211,69.8499984741211,4527699
2020-08-21,57.807796478271484,69.62999725341797,71.1500015258789,69.62999725341797,70.5,4129176
2020-08-24,57.24324035644531,68.94999694824219,69.62999725341797,68.8499984741211,69.58000183105469,2682292
2020-08-25,58.48855972290039,70.44999694824219,70.77999877929688,69.5999984741211,70.0,3548162
2020-08-26,57.82439041137695,69.6500015258789,69.87000274658203,68.80000305175781,69.81999969482422,2667332
2020-08-27,57.34286880493164,69.06999969482422,69.83000183105469,68.9000015258789,69.6500015258789,3089720
2020-08-28,57.35947799682617,69.08999633789062,69.68000030517578,68.81999969482422,69.31999969482422,3290137
